"created"	"state"	"total"	"total_char"	"active_rate"	"processid"	"app_name"	"category"	"title"	"file_name"
"2019/08/31 10:10"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:11"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:12"	"develop"	"39"	"2"	"0.3"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:13"	"filer"	"27"	"1"	"0.3"	"10828"	"explorer"	"filer"	"input"	""
"2019/08/31 10:14"	"BROWSING"	"3"	"0"	"0.5"	"15976"	"sakura"	"editor"	"アウトプット - sakura 2.2.0.1  "	""
"2019/08/31 10:15"	"NO_OPERATING"	"0"	"0"	"1"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 10:16"	"NO_OPERATING"	"0"	"0"	"1"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 10:17"	"NO_OPERATING"	"0"	"0"	"1"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 10:18"	"NO_OPERATING"	"0"	"0"	"0.8"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 10:19"	"NO_OPERATING"	"1"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:20"	"NO_OPERATING"	"1"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:21"	"NO_OPERATING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:22"	"NO_OPERATING"	"0"	"0"	"0.8"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:23"	"BROWSING"	"2"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:24"	"editor"	"41"	"33"	"0.9"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:25"	"editor"	"39"	"17"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:26"	"BROWSING"	"60"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:27"	"BROWSING"	"86"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:28"	"BROWSING"	"39"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:29"	"BROWSING"	"2"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:30"	"BROWSING"	"138"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
"2019/08/31 10:31"	"BROWSING"	"131"	"0"	"1"	"10164"	"sakura"	"editor"	"G:\workplace\transformPCActiveInfo\transformPCActiveInfo.ps1 - sakura 2.2.0.1  "	"transformPCActiveInfo.ps1"
