created	start_time	processid	appname	category	title
2019/08/21 05:49:52	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:49:58	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:04	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:10	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:16	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:22	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:28	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:34	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:40	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:46	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:52	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:50:58	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:04	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:10	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:16	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:22	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:28	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:34	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:40	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:46	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:53	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:51:59	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:05	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:11	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:17	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:23	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:29	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:35	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:41	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:47	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:53	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:52:59	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:05	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:11	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:17	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:23	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:29	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:35	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:41	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:47	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:53:53	2019/08/21 05:42	7164	explorer	filer	
2019/08/21 05:53:59	2019/08/21 05:42	7164	explorer	filer	
2019/08/21 05:54:05	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:11	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:17	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:23	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:29	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:35	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:41	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:47	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:53	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:54:59	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:05	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:11	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:17	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:23	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:29	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:35	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:41	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:48	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:55:54	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:00	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:06	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:12	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:18	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:24	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:30	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:36	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:42	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:48	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:56:54	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:00	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:06	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:12	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:18	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:24	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:30	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:36	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:42	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:48	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:57:54	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:00	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:06	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:12	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:18	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:24	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:30	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:36	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:42	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:58:48	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
